city,lat,lng,country,population,population_proper
San Juan,14.6,121.0333,Philippines,122180,122180
San Fernando,16.6167,120.3167,Philippines,121812,121812
Bocaue,14.8,120.9333,Philippines,119675,119675
Carcar,10.1167,123.6333,Philippines,119664,119664
Poblacion,10.4167,123.9667,Philippines,118753,118753
Santo Tomas,7.5333,125.6167,Philippines,118750,118750
Guimba,15.6581,120.7689,Philippines,118655,118655
Glan,5.8167,125.2,Philippines,118263,118263
Bayawan,9.3667,122.8,Philippines,117900,117900
Tanay,14.4972,121.2864,Philippines,117830,117830
Malita,6.4,125.6,Philippines,117746,117746
Santa Cruz,14.2833,121.4167,Philippines,117605,117605
Candelaria,13.9311,121.4233,Philippines,117434,117434
Guagua,14.9667,120.6333,Philippines,117430,117430
Rosario,13.846,121.206,Philippines,116764,116764
Naga,10.2167,123.75,Philippines,115750,115750
Angono,14.5234,121.1536,Philippines,113283,113283
Magalang,15.2167,120.6667,Philippines,113147,113147
City of Isabela,6.7,121.9667,Philippines,112788,112788
Los Baños,14.1667,121.2167,Philippines,112008,112008
Iriga City,13.4167,123.4167,Philippines,111757,111757
Candaba,15.0933,120.8283,Philippines,111586,111586
Naic,14.3167,120.7667,Philippines,111454,111454
Ligao,13.2167,123.5167,Philippines,111399,111399
Norzagaray,14.9167,121.05,Philippines,111348,111348
Laoag,18.1951,120.5918,Philippines,111125,111125
Rosario,14.4167,120.85,Philippines,110706,110706
Tabuk,17.45,121.4583,Philippines,110642,110642
Gapan,15.3075,120.9453,Philippines,110303,110303
Baybay,10.6833,124.8,Philippines,109432,109432
Calumpit,14.9167,120.7667,Philippines,108757,108757
Libmanan,13.7,123.0667,Philippines,108716,108716
San Juan,13.826,121.396,Philippines,108585,108585
Apalit,14.9496,120.7587,Philippines,107965,107965
Plaridel,14.8869,120.8569,Philippines,107805,107805
Himamaylan,10.1,122.8667,Philippines,106880,106880
Dinalupihan,14.8833,120.4667,Philippines,106371,106371
Mangaldan,16.07,120.4025,Philippines,106331,106331
Tagbilaran City,9.65,123.85,Philippines,105051,105051
Daet,14.1167,122.95,Philippines,104799,104799
Subic,14.9,120.2333,Philippines,104771,104771
San Ildefonso,15.0789,120.9419,Philippines,104471,104471
Samal,7.05,125.7333,Philippines,104123,104123
Quezon,7.7333,125.1,Philippines,104116,104116
Catbalogan,11.7833,124.8833,Philippines,103879,103879
Maluñgun,6.2667,125.2833,Philippines,103604,103604
Lingayen,16.0167,120.2333,Philippines,103278,103278
Bayugan,8.7143,125.7481,Philippines,103202,103202
Naujan,13.3233,121.3028,Philippines,102998,102998
Cavite City,14.4833,120.9,Philippines,102806,102806
Talisay,10.7333,122.9667,Philippines,102214,102214
Cawayan,9.9667,122.6167,Philippines,102165,102165
Maramag,7.7667,125,Philippines,102089,102089
Bongao,5.0292,119.7731,Philippines,100527,100527
Manolo Fortich,8.3697,124.8644,Philippines,100210,100210
Bulan,12.6714,123.875,Philippines,100076,100076
Tayabas,14.0167,121.5833,Philippines,99779,99779
Guiguinto,14.8333,120.8833,Philippines,99730,99730
Tiaong,13.95,121.3167,Philippines,99712,99712
Sindangan,8.2333,123,Philippines,99435,99435
Tacurong,6.6833,124.6667,Philippines,98316,98316
Carmona,14.3167,121.05,Philippines,97557,97557
Pulilan,14.902,120.849,Philippines,97323,97323
Balanga,14.6833,120.5333,Philippines,96061,96061
Guihulñgan,10.1167,123.2667,Philippines,95969,95969
Carmen,7.2,124.7833,Philippines,95921,95921
Masbate,12.3667,123.6167,Philippines,95389,95389
Sultan Kudarat,7.2333,124.25,Philippines,95201,95201
Lopez,13.884,122.2604,Philippines,95167,95167
Calasiao,16.0167,120.3667,Philippines,95154,95154
M’lang,6.95,124.8833,Philippines,95070,95070
Monkayo,7.8167,126.05,Philippines,94908,94908
San Rafael,14.95,120.9667,Philippines,94655,94655
Bislig,8.1833,126.35,Philippines,94535,94535
Escalante,10.8333,123.5,Philippines,94070,94070
Catarman,12.45,124.65,Philippines,94037,94037
Lemery,13.9167,120.8833,Philippines,93157,93157
Paniqui,15.6667,120.5833,Philippines,92606,92606
Bauan,13.7917,121.0085,Philippines,91297,91297
Santa Cruz,6.8333,125.4167,Philippines,90987,90987
Balayan,13.9333,120.7333,Philippines,90699,90699
Isulan,6.6333,124.6,Philippines,90682,90682
Palimbang,6.2167,124.2,Philippines,90424,90424
Alaminos,16.1553,119.9808,Philippines,89708,89708
Pili,13.5833,123.3,Philippines,89545,89545
Parang,7.3744,124.2686,Philippines,89194,89194
Kabacan,7.1167,124.8167,Philippines,89161,89161
Oton,10.6931,122.4736,Philippines,89115,89115
Pandi,14.8667,120.95,Philippines,89075,89075
Salaman,6.6333,124.0667,Philippines,88868,88868
Polangui,13.2922,123.4856,Philippines,88221,88221
Victorias,10.9,123.0833,Philippines,87933,87933
Gerona,15.6,120.6,Philippines,87531,87531
Compostela,7.6667,126.0833,Philippines,87474,87474
Balamban,10.4667,123.7833,Philippines,87177,87177
Pinamalayan,13,121.4167,Philippines,86172,86172
Aroroy,12.5125,123.3989,Philippines,86168,86168
Pongotan,7.15,125.95,Philippines,85899,85899
Hinigaran,10.2667,122.85,Philippines,85602,85602
Maasin,10.1333,124.85,Philippines,85560,85560
Surallah,6.3667,124.7333,Philippines,84539,84539
Daanbantayan,11.3333,124.0167,Philippines,84430,84430
Banga,6.3,124.7833,Philippines,83989,83989
Nabua,13.4083,123.375,Philippines,83874,83874
Makilala,6.9667,125.0833,Philippines,83851,83851
Kawit,14.4333,120.9,Philippines,83466,83466
Camiling,15.7,120.4167,Philippines,83248,83248
Sablayan,12.837,120.7829,Philippines,83169,83169
Binmaley,16.0323,120.269,Philippines,83052,83052
Calabanga,13.7167,123.2333,Philippines,83033,83033
San Fabian,16.15,120.45,Philippines,83025,83025
Baggao,17.8894,121.8709,Philippines,82782,82782
Prosperidad,8.6057,125.9153,Philippines,82631,82631
Solana,17.65,121.6833,Philippines,82502,82502
Dapitan,8.6549,123.4243,Philippines,82418,82418
Guinobatan,13.1833,123.6,Philippines,82361,82361
Nabunturan,7.6078,125.9664,Philippines,82234,82234
Bolinao,16.3333,119.8833,Philippines,82084,82084
Santa Barbara,16.0031,120.4008,Philippines,82012,82012
Calaca,13.9667,120.8,Philippines,81859,81859
Science City of Muñoz,15.7167,120.9,Philippines,81483,81483
Murcia,10.6,123.0333,Philippines,81286,81286
Maco,7.3619,125.8553,Philippines,81277,81277
Indanan,6,120.9667,Philippines,80883,80883
Calatrava,10.6,123.4833,Philippines,80624,80624
Kalibo,11.7,122.3667,Philippines,80605,80605
Passi,11.1,122.6333,Philippines,80544,80544
Tanjay,9.5167,123.1583,Philippines,80532,80532
Calauan,14.15,121.3167,Philippines,80453,80453
Alabel,6.1023,125.2868,Philippines,80359,80359
Talipao,5.976,121.1087,Philippines,80255,80255
Matalam,7.0833,124.9,Philippines,79361,79361
Echague,16.7,121.65,Philippines,79094,79094
Bantayan,11.2,123.7333,Philippines,79084,79084
Cabiao,15.25,120.85,Philippines,79007,79007
Mabinay,9.7333,122.9167,Philippines,78864,78864
Bogo,11.0167,124,Philippines,78120,78120
San Antonio,15.3833,120.8,Philippines,77836,77836
Siaton,9.0667,123.0333,Philippines,77696,77696
Buhi,13.4333,123.5167,Philippines,77143,77143
Poblacion,6.8,124.6333,Philippines,77013,77013
San Jose,13.8772,121.105,Philippines,76971,76971
Malapatan,5.9667,125.2833,Philippines,76914,76914
Bulacan,14.7928,120.8789,Philippines,76565,76565
Kapalong,7.5854,125.7052,Philippines,76334,76334
Jose Abad Santos,5.9167,125.65,Philippines,76332,76332
Bais,9.5907,123.1213,Philippines,76291,76291
Macabebe,14.9081,120.7156,Philippines,75850,75850
Santa Catalina,9.3331,122.8658,Philippines,75756,75756
Batarasa,8.6667,117.6167,Philippines,75468,75468
Libon,13.3,123.4333,Philippines,75172,75172
Taytay,10.8167,119.5167,Philippines,75165,75165
Pototan,10.95,122.6333,Philippines,75070,75070
Bauang,16.5333,120.3333,Philippines,75032,75032
Pagbilao,13.972,121.687,Philippines,75023,75023
Robles,10.35,123.0667,Philippines,74855,74855
Lamitan,6.65,122.1333,Philippines,74782,74782
Carmen,7.3606,125.7064,Philippines,74679,74679
Ipil,7.7833,122.5833,Philippines,74656,74656
Pilar,12.9333,123.6833,Philippines,74564,74564
San Francisco,8.505,125.9771,Philippines,74542,74542
Balagtas,14.8145,120.9085,Philippines,73929,73929
Gumaca,13.921,122.1002,Philippines,73877,73877
Barili,10.1167,123.5333,Philippines,73862,73862
Ubay,10.056,124.4729,Philippines,73712,73712
Virac,13.5833,124.2333,Philippines,73650,73650
Lambunao,11.05,122.4833,Philippines,73640,73640
Cabadbaran,9.1228,125.5346,Philippines,73639,73639
Umingan,15.9,120.8,Philippines,73252,73252
Mangatarem,15.7874,120.2921,Philippines,73241,73241
Narra,9.2833,118.4167,Philippines,73212,73212
Jaen,15.3333,120.9,Philippines,73184,73184
Tagoloan,8.5333,124.75,Philippines,73150,73150
Calauag,13.9575,122.2875,Philippines,73139,73139
Argao,9.8833,123.6,Philippines,72366,72366
Bongabong,12.7167,121.3667,Philippines,72073,72073
Talakag,8.2336,124.6003,Philippines,71644,71644
Alicia,16.7787,121.6972,Philippines,71504,71504
Tagaytay,14.1,120.9333,Philippines,71181,71181
Catanauan,13.5917,122.325,Philippines,71073,71073
Sipalay,9.75,122.4,Philippines,70070,70070
Tupi,6.3333,124.95,Philippines,69976,69976
Pozorrubio,16.1167,120.55,Philippines,69555,69555
Manaoag,16.0439,120.4856,Philippines,69497,69497
Santa Rosa,15.4239,120.9389,Philippines,69467,69467
Bamban,15.65,120.25,Philippines,69466,69466
Bula,13.4667,123.2833,Philippines,69430,69430
Baras,14.5167,121.2667,Philippines,69300,69300
Borongan,11.6,125.4333,Philippines,69297,69297
Dumangas,10.8333,122.7167,Philippines,69108,69108
Infanta,14.7425,121.6494,Philippines,69079,69079
Bacacay,13.2925,123.7917,Philippines,68906,68906
Carles,11.5667,123.1333,Philippines,68160,68160
Limay,14.5619,120.5983,Philippines,68071,68071
Oas,13.2589,123.4953,Philippines,67960,67960
Lala,7.9667,123.75,Philippines,67727,67727
Siasi,5.5462,120.8145,Philippines,67705,67705
Tumauini,17.2667,121.8,Philippines,67650,67650
Tinambac,13.8167,123.3333,Philippines,67572,67572
Miagao,10.6442,122.2352,Philippines,67565,67565
Dalaguete,9.7612,123.5349,Philippines,67497,67497
Bugallon,15.9167,120.1833,Philippines,67348,67348
Binalbagan,10.2,122.8667,Philippines,67270,67270
Bagumbayan,6.5339,124.5633,Philippines,67061,67061
Balingasag,8.75,124.7833,Philippines,67059,67059
Cawayan,12.0333,123.6833,Philippines,67033,67033
Talibon,10.1167,124.2833,Philippines,66969,66969
Don Carlos,7.6833,125,Philippines,66959,66959
Orani,14.8,120.5333,Philippines,66909,66909
Camalig,13.15,123.6,Philippines,66904,66904
Pigcawayan,7.2833,124.4333,Philippines,66796,66796
Brookes Point,8.7833,117.8333,Philippines,66374,66374
San Fernando,10.1667,123.7,Philippines,66280,66280
Esperanza,6.7167,124.5167,Philippines,66095,66095
Pinamungahan,10.2667,123.5833,Philippines,65955,65955
Hermosa,14.8333,120.5,Philippines,65862,65862
Lupon,6.8981,126.0096,Philippines,65785,65785
Aparri,18.355,121.6419,Philippines,65649,65649
Indang,14.2,120.8833,Philippines,65599,65599
San Pascual,13.8,121.0333,Philippines,65424,65424
Roxas,10.3333,119.3333,Philippines,65358,65358
San Leonardo,15.3667,120.9667,Philippines,65299,65299
Cuyapo,15.7833,120.6667,Philippines,65039,65039
Sipocot,13.7667,122.9833,Philippines,64855,64855
Castillejos,14.9333,120.2,Philippines,64841,64841
Pililla,14.4833,121.3,Philippines,64812,64812
Alamada,7.3868,124.5534,Philippines,64596,64596
San Mateo,16.8833,121.5833,Philippines,64505,64505
La Carlota,10.4167,122.9167,Philippines,64469,64469
Bongabon,15.6321,121.1448,Philippines,64173,64173
Rizal,15.6833,121.1667,Philippines,64087,64087
La Paz,15.4431,120.7289,Philippines,64017,64017
Janiuay,10.95,122.5,Philippines,63905,63905
Tuburan,10.7333,123.8333,Philippines,63866,63866
Pateros,14.5417,121.0667,Philippines,63840,63840
Mauban,14.1911,121.7308,Philippines,63819,63819
Victoria,15.5781,120.6819,Philippines,63715,63715
Agoo,16.322,120.3647,Philippines,63692,63692
Aliaga,15.4988,120.841,Philippines,63543,63543
Atimonan,14.0036,121.9199,Philippines,63432,63432
Hilongos,10.3667,124.75,Philippines,63431,63431
Goa,13.7,123.5,Philippines,63308,63308
Rosales,15.8944,120.6328,Philippines,63081,63081
Nagcarlan,14.1364,121.4165,Philippines,63057,63057
Lutayan,6.6,124.85,Philippines,63029,63029
Tangub,8.0667,123.75,Philippines,63011,63011
Saravia,10.8833,122.9667,Philippines,62921,62921
Kapatagan,7.9,123.7667,Philippines,62853,62853
Tigbauan,10.6747,122.3776,Philippines,62706,62706
San Jose,10.75,121.95,Philippines,62534,62534
Villasis,15.9,120.5833,Philippines,62333,62333
Patikul,6.0667,121.1,Philippines,62287,62287
Parang,5.9167,120.9167,Philippines,62172,62172
Isabela,10.2,122.9833,Philippines,62146,62146
Bay,14.1833,121.2833,Philippines,62143,62143
Lantapan,8.0005,125.0235,Philippines,61776,61776
Roxas,17.1167,121.6167,Philippines,61773,61773
Buenavista,8.9744,125.409,Philippines,61614,61614
Tuao,17.7333,121.45,Philippines,61535,61535
Bayombong,16.4833,121.15,Philippines,61512,61512
Opol,8.5167,124.5667,Philippines,61503,61503
Aurora,13.35,122.5167,Philippines,61473,61473
Laoang,12.5667,125.0167,Philippines,61359,61359
Kiamba,5.9833,124.6167,Philippines,61058,61058
Quezon,9.2333,118.0333,Philippines,60980,60980
Candon,17.2,120.45,Philippines,60623,60623
Bansalan,6.7833,125.2167,Philippines,60440,60440
Calinog,11.1333,122.5,Philippines,60413,60413
Sibalom,10.7833,122.0167,Philippines,60306,60306
Santa Barbara,10.8231,122.5344,Philippines,60215,60215
Itogon,16.3667,120.6833,Philippines,59820,59820
Poblacion,10.25,123.95,Philippines,59712,59712
Jose Pañganiban,14.3,122.7,Philippines,59639,59639
Abuyog,10.7458,125.0122,Philippines,59571,59571
Gubat,12.9167,124.1167,Philippines,59534,59534
Solano,16.5239,121.1919,Philippines,59517,59517
Maasin,5.8667,125,Philippines,59468,59468
Sibulan,9.35,123.2833,Philippines,59455,59455
Cambanugoy,7.5386,125.7508,Philippines,59322,59322
Angat,14.9281,121.0293,Philippines,59237,59237
Obando,14.7,120.9167,Philippines,59197,59197
Paracale,14.2833,122.7833,Philippines,59149,59149
Baao,13.4535,123.3654,Philippines,58849,58849
Cabatuan,10.8833,122.4833,Philippines,58442,58442
Mamungan,8.1167,124.2167,Philippines,58383,58383
Ragay,13.8183,122.7923,Philippines,58214,58214
Santa Cruz,15.7667,119.9167,Philippines,58151,58151
Morong,14.5119,121.2389,Philippines,58118,58118
Palompon,11.05,124.3833,Philippines,58108,58108
Santo Domingo,15.5833,120.8667,Philippines,57943,57943
Castilla,12.9486,123.8822,Philippines,57827,57827
Moncada,15.7333,120.5667,Philippines,57787,57787
Teresa,14.5586,121.2083,Philippines,57755,57755
Botolan,15.2896,120.0245,Philippines,57707,57707
San Remigio,11,123.95,Philippines,57557,57557
Milagros,12.2333,123.5,Philippines,57473,57473
Ilog,10.0333,122.7667,Philippines,57389,57389
Asingan,16.0023,120.6695,Philippines,57355,57355
Masantol,14.9,120.7167,Philippines,57063,57063
Jinoba-an,9.6018,122.4668,Philippines,56819,56819
Matanao,6.75,125.2333,Philippines,56755,56755
Irosin,12.7,124.0333,Philippines,56662,56662
Gattaran,18.0667,121.65,Philippines,56661,56661
Kananya,11.1833,124.5667,Philippines,56575,56575
Tulunan,6.8333,124.8833,Philippines,56513,56513
Calatagan,13.8322,120.6322,Philippines,56449,56449
Santa Cruz,13.4833,122.0333,Philippines,56408,56408
Tandag,9.0667,126.1833,Philippines,56364,56364
Taal,13.8833,120.9333,Philippines,56327,56327
Malvar,14.0417,121.1583,Philippines,56270,56270
Baganga,7.5752,126.5585,Philippines,56241,56241
Uson,12.2253,123.7834,Philippines,56168,56168
San Fernando,7.9167,125.3333,Philippines,56138,56138
Orion,14.6206,120.5817,Philippines,56002,56002
Placer,11.8667,123.9167,Philippines,55826,55826
Pavia,10.775,122.5417,Philippines,55603,55603
Basey,11.2817,125.0683,Philippines,55480,55480
Lagonoy,13.7333,123.5167,Philippines,55465,55465
Rosario,16.2333,120.4833,Philippines,55458,55458
San Mariano,16.9833,122.0167,Philippines,55370,55370
Medellin,11.1286,123.9622,Philippines,55332,55332
Tigaon,13.6333,123.5,Philippines,55272,55272
Alangalang,11.2,124.85,Philippines,55235,55235
Batac,18.0554,120.5649,Philippines,55201,55201
San Francisco,10.65,124.35,Philippines,55180,55180
Santa Ana,15.0939,120.7681,Philippines,55178,55178
Sigaboy,6.65,126.0667,Philippines,55109,55109
Tanauan,11.1167,125.0167,Philippines,55021,55021
Manapla,10.958,123.123,Philippines,54845,54845
New Corella,7.5866,125.8237,Philippines,54844,54844
Esperanza,8.676,125.6454,Philippines,54801,54801
Boac,13.45,121.8333,Philippines,54730,54730
Naval,11.5833,124.45,Philippines,54692,54692
Binalonan,16.05,120.6,Philippines,54555,54555
Mansalay,12.5204,121.4385,Philippines,54533,54533
Canlaon,10.3833,123.2,Philippines,54509,54509
Jasaan,8.65,124.75,Philippines,54478,54478
Naguilian,16.5333,120.4,Philippines,54221,54221
Barotac Nuevo,10.9,122.7,Philippines,54146,54146
San Luis,15.04,120.7919,Philippines,54106,54106
Vigan,17.5747,120.3869,Philippines,53879,53879
Magsaysay,6.7667,125.1833,Philippines,53876,53876
Santa Maria,6.55,125.4667,Philippines,53671,53671
Upi,7.0289,124.165,Philippines,53583,53583
Bambang,16.3825,121.11,Philippines,53433,53433
Hagonoy,6.6833,125.3,Philippines,53309,53309
Paombong,14.8311,120.7892,Philippines,53294,53294
Roxas,12.5833,121.5,Philippines,53201,53201
San Simon,14.998,120.78,Philippines,53198,53198
Pangantocan,7.8333,124.8333,Philippines,53126,53126
Mulanay,13.5222,122.4042,Philippines,53123,53123
Tiwi,13.4585,123.6805,Philippines,53120,53120
Guiuan,11.0333,125.7333,Philippines,52991,52991
Malay,11.9,121.9167,Philippines,52973,52973
Ibaan,13.8176,121.133,Philippines,52970,52970
San Manuel,16.0656,120.6667,Philippines,52939,52939
Burauen,10.9833,124.9,Philippines,52732,52732
Ramon,16.7833,121.5333,Philippines,52707,52707
Lian,14.0333,120.65,Philippines,52660,52660
Diffun,16.6,121.4667,Philippines,52569,52569
Minalabac,13.5667,123.1833,Philippines,52390,52390
Ajuy,11.1725,123.0196,Philippines,52268,52268
Bato,13.3561,123.3639,Philippines,52137,52137
Molave,8.0833,123.4833,Philippines,52006,52006
San Joaquin,10.6,122.0833,Philippines,51892,51892
Pontevedra,10.3667,122.8833,Philippines,51866,51866
Alfonso,14.1379,120.8552,Philippines,51839,51839
Tagkawayan,13.9667,122.5333,Philippines,51832,51832
Coron,12,120.2,Philippines,51803,51803
San Isidro,15.2667,120.9,Philippines,51612,51612
Trento,8.0459,126.0614,Philippines,51565,51565
Lucban,14.1133,121.5569,Philippines,51475,51475
Carigara,11.3,124.6833,Philippines,51345,51345
Cogan,10.5833,123.9667,Philippines,51325,51325
Tapas,11.2667,122.5333,Philippines,51313,51313
Dumanjog,10.05,123.4833,Philippines,51210,51210
Mercedes,14.1093,123.0109,Philippines,50841,50841
Aurora,7.9484,123.5819,Philippines,50755,50755
Iba,15.3333,119.9833,Philippines,50506,50506
Buenavista,10.7,122.6333,Philippines,50437,50437
Cataingan,12,123.9833,Philippines,50327,50327
Bani,16.1869,119.8592,Philippines,50306,50306
Pila,14.2333,121.3667,Philippines,50289,50289
Kitaotao,7.6397,125.0089,Philippines,50260,50260
El Salvador,8.5667,124.5167,Philippines,50204,50204
Cabagan,17.4333,121.7667,Philippines,50174,50174
Urbiztondo,15.8227,120.3295,Philippines,50170,50170
Buluan,6.7154,124.7854,Philippines,50008,50008
Leon,10.7808,122.3894,Philippines,49875,49875
Barobo,8.55,126.2,Philippines,49730,49730
Donsol,12.9167,123.6,Philippines,49711,49711
Titay,7.8682,122.5613,Philippines,49673,49673
Ibajay,11.8167,122.1667,Philippines,49564,49564
Zaragoza,15.4531,120.7911,Philippines,49387,49387
Magpet,7.1167,125.1167,Philippines,49201,49201
Kalamansig,6.5667,124.05,Philippines,49059,49059
Pasacao,13.5167,123.05,Philippines,49035,49035
Cardona,14.4861,121.2289,Philippines,49034,49034
Claveria,8.61,124.8947,Philippines,48906,48906
Kiblawan,6.6167,125.2167,Philippines,48897,48897
Libungan,7.25,124.5167,Philippines,48768,48768
Hamtic,10.7,121.9833,Philippines,48592,48592
Peñablanca,17.6333,121.7833,Philippines,48584,48584
